lg_id,sil_id
319,222
320,6
321,6
61,1
33,2
34,2
32,3
95,4
62,5
107,6
28,6
29,6
26,6
27,6
31,6
81,6
30,6
71,7
71,8
35,9
37,10
36,10
63,11
51,12
75,13
59,14
57,14
60,14
58,14
126,15
127,16
128,17
38,18
42,19
131,20
52,21
39,22
40,22
135,23
69,24
54,25
41,25
139,26
72,27
53,25
56,28
143,29
64,30
65,30
146,31
147,32
148,33
73,34
66,35
151,36
67,37
68,37
74,38
50,39
70,40
55,41
80,42
159,43
160,44
162,41
164,14
165,30
166,8
167,46
168,47
169,48
170,49
171,50
172,51
173,52
174,53
175,54
176,55
177,56
178,57
179,58
180,59
181,60
182,61
183,62
184,63
185,64
186,65
187,66
188,67
189,68
190,69
191,70
192,71
193,72
194,73
195,74
196,75
197,76
198,77
199,78
200,79
201,80
202,81
203,82
204,83
205,84
206,85
207,85
208,86
209,87
210,88
211,89
212,90
213,91
214,92
215,93
216,94
217,95
218,96
219,97
220,98
221,99
222,100
223,101
224,102
225,103
226,104
227,105
228,106
229,107
230,108
231,109
232,110
233,111
234,120
235,112
236,113
237,114
237,115
238,116
239,117
240,118
241,119
242,121
243,122
244,123
245,124
246,125
247,126
248,127
249,128
250,129
251,130
252,131
253,132
254,133
255,134
256,135
257,136
258,137
259,138
260,139
261,140
262,141
263,142
264,143
265,144
266,145
267,146
268,147
269,148
270,149
271,150
272,151
273,152
274,153
275,153
276,154
277,155
278,156
279,157
280,158
281,159
282,160
283,161
284,162
285,163
286,164
287,165
288,166
289,167
290,168
291,169
292,170
293,171
294,172
295,173
296,174
297,175
298,176
299,176
300,177
301,178
302,179
304,180
305,181
306,182
307,183
308,184
309,185
310,186
311,187
312,188
313,189
314,190
315,191
316,3
317,13
318,192
501,10
500,1
502,12
503,14
504,14
505,14
506,14
507,14
508,14
509,14
510,14
511,14
512,14
513,14
514,14
515,14
516,193
517,44
518,194
519,27
522,27
520,27
523,27
521,27
524,28
525,28
526,28
527,35
528,35
529,35
530,35
531,44
532,40
533,195
534,5
400,196
401,196
402,198
403,198
404,200
405,201
406,202
407,203
408,204
409,205
410,205
411,207
412,207
413,209
414,210
415,211
416,212
417,213
418,214
419,215
420,216
421,217
422,218
423,219
424,220
425,221
322,6
323,6
324,6
325,25
701,301
702,302
703,303
704,304
705,305
706,306
707,307
708,308
709,309
710,310

800,311
801,312
802,312
803,312
804,311
805,313
807,314
808,315
809,316
810,317
811,318
812,319
813,319
814,320
815,321
816,322
817,323
819,321
820,324
822,321
823,325
825,326
826,327
827,328
828,328
829,329
830,330
832,331
833,332
834,333
835,334
836,335
837,334
838,336
839,337
840,337
